Date,Notes,Notes_clean,Prediction
04/02/2018 10:13:07,"Use ADRCI or Support Workbench to package the incident..See Note 411.1 at My Oracle Support for error and packaging details..Dumping diagnostic data in directory=[cdmp_20180204101307], requested by (instance=3, osid=65904), summary=[incident=12211580]..Sweep [inc2][12211580]: completed",use adrci support workbench package incident see note oracle support error packaging details dumping diagnostic data requested sweep completed,Dumping diagnostic
03/02/2018 06:13:34,Current log# 11 seq# 31124 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Current log# 11 seq# 31124 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781.Thread 3 advanced to log sequence 31124 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
03/02/2018 06:13:35,Archived Log entry 182454 added for thread 3 sequence 31123 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 20:13:06,Running KSFV I/O slave I601 os pid=24411,running ksfv slave os,KSFV
01/02/2018 16:42:52,TNS-00505: Operation timed out.01/02/2018 16:42:52.nt OS err code: 0.Client address: (ADDRESS=(PROTOCOL=tcp)(HOST=10.241.187.190)(PORT=62000)).01/02/2018 16:42:52.***********************************************************************.01/02/2018 16:42:52.Fatal NI connect error 12170..01/02/2018 16:42:52.VERSION INFORMATION:.TNS for Linux: Version 12.1.0.2.0 - Production.Oracle Bequeath NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.TCP/IP NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.Time: 01-FEB-2018 16:42:52.Tracing not turned on..Tns error struct:.TNS-12535: TNS:operation timed out.ns secondary err code: 12560.nt main err code: 505.01/02/2018 16:42:52.ns main err code: 12535.nt secondary err code: 110.01/02/2018 16:43:06.***********************************************************************,tns operation timed nt os err code client address address protocoltcp fatal ni connect error version information tns linux version production oracle bequeath nt protocol adapter linux version production tcp ip nt protocol adapter linux version production time feb tracing turned tns error struct tns tns operation timed ns secondary err code nt main err code ns main err code nt secondary err code,Fatal NI
04/02/2018 04:17:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j001_3589.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 20:13:09,Archived Log entry 330981 added for thread 3 sequence 67241 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 09:13:11,Running KSFV I/O slave I601 os pid=86320,running ksfv slave os,KSFV
03/02/2018 22:38:05,Note: Some NFS servers require 'insecure' to be specified as part of the export..Direct NFS: Please check the permissions for server 10.9.191.152.,note nfs servers require specified part export direct nfs please check permissions server,NFS Permission
04/02/2018 07:17:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_30322.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
02/02/2018 04:58:15,Archived Log entry 181975 added for thread 3 sequence 31041 ID 0x6d02838d dest 1:.Current log# 9 seq# 31042 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Thread 3 advanced to log sequence 31042 (LGWR switch).Current log# 9 seq# 31042 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711,archived log entry added thread sequence id dest current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
05/02/2018 04:30:56,Thread 3 advanced to log sequence 67271 (LGWR switch).Current log# 5 seq# 67271 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Current log# 5 seq# 67271 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
02/02/2018 01:20:20,Archived Log entry 181860 added for thread 3 sequence 31024 ID 0x6d02838d dest 1:.Archived Log entry 181862 added for thread 5 sequence 29730 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 17:48:00,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_67743.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 12:48:35,Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_CHNL_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_CUST_SERV_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.PK_W_D_MC_USAGE_CUST or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_CUST_CHNL_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_CUST_DEVICE_ID or some [sub]partitions of the index have been marked unusable,index con dm uw stg idx w mc use view chnl id index marked unusable index con dm uw stg idx w mc use cust serv id index marked unusable index con dm uw stg pk w mc usage cust index marked unusable index con dm uw stg idx w mc use cust chnl id index marked unusable index con dm uw stg idx w mc use cust device id index marked unusable,Index Unusable
