"","text","emotion","polarity"
"1","after attempting to fix my  months of broken push notifications with all suggestions i thought i try one more thing i havent tried  it worked   notifications problem gone    i recommend to try it  i just figured out when your all your notifications are switched on but your skype contact chat screen notification turned off your contacts will not get a notification from you at all  visa versa   after establishing all phone  in app in your skype profile are all switched on go to each of your skype contacts  within the chat screen go to the chat notifications  see if turned on  tap the three dots on the bottom right hand corner  chat menu comes up  tap notifications  turn it on   now contact each of your skype contacts  ask them to go into each of their contacts chat screen  switch notifications on   once i got each of my skype contacts to check their chat sessions  had them switch notifications on the problem went away     give it a try it it would be nice for feedback it worked    good luck  hope it works for everyone","disgust","neutral"
"2","skype as long as its installed  logged on becomes a background service i do like the look of the current version but i do hate how it runs there was a problem regarding it running in background in the past where despite exiting the application through signing off with automatic signon enabled the app would reopen itself if someone called you let alone even sent you a file   now signing off literally logging off is the only way to stop the app the biggest downside is having to log in again if you swipe away the app from your recent apps display the sticky notification still remains you can turn it off but sometimes you dont want that option off when skype is actually running you cant win you just cant win   when the app is off the app should be off and shouldnt display calls of files when the app is swiped the app should also be off   there should also be an option to exit the app instead of signing off exiting the app and signing off of the app are two different things period","anger","negative"
"4","hi  when i want to join a lync meeting i have to install the  skypeforbusinesspluginpkg to run the meetinghowever it is not possible to run this package it says installer quit unexpectedly while starting and the error log shows the following   i have osx v   how can this be resolved  thanks    process         installer   path            systemlibrarycoreservicesinstallerappcontentsmacosinstaller  identifier      comappleinstaller  version            build info      installer  code type       x native  parent process  launchd   responsible     installer   user id             datetime           os version      mac os x  f  report version    anonymous uuid  fbdcefadaaaadfe    sleepwake uuid abcaaacedf    crashed thread      exception type  exccrash sigabrt  exception codes x x    application specific information   terminating app due to uncaught exception pkreceipt reason attempt to get receipts for nil volumepath  terminating with uncaught exception of type nsexception  abort called    application specific backtrace      corefoundation                      xfffecc exceptionpreprocess       libobjcadylib                     xfffedfe objcexceptionthrow       corefoundation                      xfffecc nsexception raiseformat       packagekit                          xfffef pkreceiptlibraryreceipts receiptsonvolumeatpath       packagekit                          xfffefa pkreceiptlibraryreceipts receiptwithidentifiervolume       install                             xff pfpkreceipt receiptmoduleforidentifierwithobjectonvolumeorhomedirerror       install                             xf pfreceipt initwithmoduleandidcontextonvolumeorhomedirerror       install                             xfde pfreceipt receiptwithmoduleandidcontextonvolumeorhomedirerror       install                             xf pfreceipt receiptforidentifierwithobjectonvolumeorhomedirerror       install                             xfd ifdocumentdistributionprivate receiptforpackageonvolumeorhomedir      install                             xf ifdtargetcontrollerdiskprocessing cachereceiptinfofortarget      install                             xf ifdtargetcontrollerdomainprocessing targetfordomain      installer                           xebb installer      foundation                          xfffbdb nsthreadmain      libsystempthreaddylib             xfff pthreadbody      libsystempthreaddylib             xfffa pthreadstructinit      libsystempthreaddylib             xffffc threadstart      thread  dispatch queue comapplemainthread     libsystemkerneldylib          xfffebaa machmsgtrap       libsystemkerneldylib          xfffebd machmsg       comapplecorefoundation        xfffeef cfrunloopservicemachport       comapplecorefoundation        xfffee cfrunlooprun       comapplecorefoundation        xfffede cfrunlooprunspecific       comapplehitoolbox             xfffaead runcurrenteventloopinmode       comapplehitoolbox             xfffaeb receivenexteventcommon       comapplehitoolbox             xfffaebc blockuntilnexteventmatchinglistinmodewithfilter       comappleappkit                xfffbfee dpsnextevent       comappleappkit                xfffbfdb nsapplication nexteventmatchingmaskuntildateinmodedequeue      comappleappkit                xfffbfc nsapplication run      comappleappkit                xfffbdc nsapplicationmain      comappleinstaller             xee xec      libdylddylib                   xfffbfd start      ","sadness","neutral"
"8","any idea to fix the high packet loss issue  user didnt report the call have problem but monitor server show it have packet loss only inbound show have high packet loss  thanks  caller  pstn call  callee lync user              audio stream caller  callee                  codec      pcma        sample rate                      packet utilization                                    avg packet loss rate               max packet loss rate                         avg jitter       ms        max jitter       ms                  burst duration       ms        burst gap duration       ms                  burst density               burst gap density                         avg concealed samples ratio               avg stretched samples ratio                         avg compressed samples ratio                                     avg network mos              min network mos                        avg network mos degradation              max network mos degradation                        nmos degradation jitter               nmos degradation packet loss       ","anger","negative"
"14","we had the  day trial version of lync and just recently updated to the full version i followed these instructions  on every machine which has eval version of servermsi installed    run msiexecexe fvomus servermsi evaltofull qb note the servermsi is from volume media   run ps cmdlet enablecscomputer  but when i do step  i get an error that says  ps cusersrlawley enablecscomputer  warning enablecscomputer failed  warning detailed results can be found at cusersrlawleyappdatalocaltempenablecscomputerafffacfdafefhtml  enablecscomputer  command execution failed service rtccdr was not found on computer jtts  at line char   enablecscomputer        categoryinfo           invalidoperation  enablecscomputer invalidoperationexception       fullyqualifiederrorid  processingfailedmicrosoftrtcmanagementdeploymentactivatemachinecmdlet  ps cusersrlawley     does anyone have an idea on how to fix this when users log onto one of our terminal servers they are getting a message that lync has expired","sadness","negative"
"17","weve have discovered that when running office  bit with lync  bit that vba code will give the error    runtime error  d  automation error  library not registered    when code is used to control powerpoint    we found that the following registry key   hkeyclassesroottypelibacfaabb    primaryinteropassemblynamemicrosoftofficeinteroppowerpoint version cultureneutral publickeytokenebceec    is created by the lync  installer and some subsequent patches but powerpoint v ie powerpoint  does not exist on the pcs only powerpoint  is installed other registry keys may be created that affect other components but weve   been concerned only with powerpoint    the office v ie office  equivalent registry keys have much more information     hkeyclassesroottypelibacfaaba    primaryinteropassemblynamemicrosoftofficeinteroppowerpoint version cultureneutral publickeytokenebceec    microsoft powerpoint  object library   hkeyclassesroottypelibacfaaba   hkeyclassesroottypelibacfaabawin    cprogram files xmicrosoft officeofficemspptolb   hkeyclassesroottypelibacfaabaflags       hkeyclassesroottypelibacfaabahelpdir    acfaab    it seems that the lync  installer is erroneously adding the b key assuming that powerpoint  is installed i discovered the following the patches also add the b key on pcs with lync  and office  installed    kb  ms description of the security update for lync  skype for business may    kb  may   update for onedrive for business kbkb  may   update for project  kbkb  april   update for office  kbkb  may   update for office  kbkb  may   update for onenote  kb    however about  or so other office  patches that get applied to these office  with lync  pcs do not add the b registry key eg  kb  update for outlook   kb  update for microsoft     i believe this is a bug in the lync installer and six patches described above  after we delete the b registry key the application works fine how can this be submitted to the office team    we havent yet done full regression testing for the office  suite so were at risk of breaking other legacy applications if we the upgrade pcs now to office     ian broadbent    ian broadbent","joy","negative"
"18","hi matt  the may update release on tuesday just gone will have updated your clients to skypeb even if you neglected to apply the april one as you did a few people who are not looking to expose their users to any skypeb branding yet have been caught out by this   second punch as it were  what you experienced however is completely normal for an onpremises lync deployment when you apply these updates the clients are updated to skypeb under the hood but the gui will stay as the lync interface until such time the administrator enables the   skypeui to true in the client policies of their users however as youve eluded to although the gui stays as lync there are some subtle changes that may confuse users if the correct level of awareness doesnt exist the system tray will change to a skype   icon youll have difference sounds and ringtones the one click join meeting experience uses skype working instead of lync just to name a few  in contrast office  users are quite the opposite and the default experience for them will to be faced with a new skype gui unless their admins define otherwise  as for why some of your users were unaffected there must have been some minor inconsistences in the level  number of updates across the user populous  get some awareness actions on the go and adopt  resistance is futile   kind regards  ben    note if you find a post informative please mark it so using the arrow to the left if it answers a question youve asked please mark the thread as answered to aid others when theyre looking for solutions to similar problems or queries","joy","negative"
"19","lets set the groundwork  mac os x  mountain lion  lync   also seen with  and   outlook      when lync and outlook are run concurrently lync  will after a brief period of time report extremely high cpu utilization over  cpu on a core i cpu at the same time outlook  will report high  and above cpu usage threads used by lync    will go up to about  from  when running by itself    during this time lync will remain responsive but outlook  will be effectively unresponsive commandq will quit outlook after a delay of  seconds inspecting the lync or outlook process via activity monitor will show abnormally large numbers of mach   messages system calls and context switches    quitting either lync or outlook will return cpu utilization and other indicators to normal levels    this behavior has been going on for several months its not a crashing issue but it makes it impossible to run lync and outlook at the same time    ive deleted and rebuilt documentsmicrosoft user data ive done a clean reinstall of mac os x on my mac ive confirmed that another user in my company is seeing the same behavior on their computer ive also read the other threads here this is not the   i had k messages in my deleted items folder error  ive long cleared that my total exchange server storage is mb with the largest single subfolder at mb  items inbox is typically between  and  items with no subfolders    no other processes report abnormal cpu usage during this time this includes microsoft database daemon and mdworker spotlight i am using activity monitor to view all processes not simply my processes    this is not transitory once the high cpu utilization phase begins its been seen to go on for as long as  minutes at which point i gave up and quit processes  so its not just a spike from an indexing process  i had high hopes for the lync  update but the issue remains any assistance would be appreciated","anger","negative"
"22","every time i open skype for business it gives me an error that says windows has encountered a critical problem and will restart automatically in one minute please save your work now then in   less then  seconds the computer reboots if you have skype for business setup to start automatically when login then when you login the computer prompts you with this message and reboots i have to go under msconfig and turn off microsoft office from loading   on startup so the user can login and work it also brings up another message that says were sorry but skype for business has run into an error that is preventing it from working correctly skype for business will need to be closed as a result would you   like us to repair now repair now help or close it doesnt matter what you click cause in less then  seconds the computer reboots and the message occurs again  i have done the following    windows updates   ran virus and malware scans   ran ccleaner   uninstalled and reinstalled skype and office    recreated user profile   deleted hkeycurrentusersoftwaremicrosoftofficelyncwhatever folders associated to the computer name and users emailsip  number  was a temporary solution it allowed the user to login to skype and work but when the user rebooted there computer and logged back into there computer we got the same message that   restarts the computer i am thinking that the office  server is generating these keys at login and creating a problem for the skype to work correctly  any thoughts would be greatly appreciated","joy","negative"
"23","hi    i made a test programe that run lync  cmdlet from c but failed the errors as following     systemmanagementautomationcommandnotfoundexception    at systemmanagementautomationcommanddiscoverylookupcommandinfostring commandname commandorigin commandorigin     at systemmanagementautomationcommanddiscoverylookupcommandprocessorstring commandname commandorigin commandorigin nullable uselocalscope     at systemmanagementautomationexecutioncontextcreatecommandstring command      the environment is lync server  windows server  the code is same as the demo code in ms site as following and the same code could run in lync  environment       using system  using systemcollectionsobjectmodel  using systemmanagementautomation  using systemmanagementautomationrunspaces    namespace microsoftrtccollaborationsampleapplicationactivation      class program          staticvoid mainstring args               get the operating environment to run commands        initialsessionstate iss  initialsessionstatecreatedefault        issimportpsmodulenew string  lync         using runspace myrunspace  runspacefactorycreaterunspaceiss                  myrunspaceopen             execute the getcstrustedapplication cmdletusing systemmanagementautomationpowershell powershell  systemmanagementautomationpowershellcreate                      powershellrunspace  myrunspace            powershelladdcommandgetcstrustedapplication              collectionpsobject results  null            collectionerrorrecord errors  null            try                          results  powershellinvoke              errors  powershellstreamserrorreadall                          catch exception ex                           an error occurred running the cmdlets todo left to the reader error handling codethrow                          foreach psobject result in results                          consolewritelineidentityt   resultmembersidentityvalue              consolewritelineapplicationidt   resultmembersapplicationidvalue                        consolewritelinepress any key to exit            consolereadkey                                could anyone help with this issue it seems the command could not be found but there is no error when importing lync module","joy","negative"
"39","today it was crazy every minute i was getting requests from strangers to accept them on my contact list because they liked my profilenbsp there is nothing in my profile except my picture which is some how connected to my facebook profile picture because that is the only place i have a picture of myselfnbspnbspin all my privacy settings its checked marked that only people in my contacts can send me messages after about  people asking me to accept them i stared banning them in hopes that would stop the messages but it hasntnbspalso in the past i had another stranger sending messages asking me how i was a couple times a day and there was no way i could block him that too was very annoing afternbspa month he finally stopped i never answered any of his messages so i want to knownbspwhatnbspi can do to stop strangers from sending me messages and to stop people from requesting i accept them on my contact list having my privacy setting checked marked to only recieve messages from people in my contact list is not blockingnbspthem from sending me messages or requesting me to accept them on my contact list its very very annoining fyi it is not people from my facebook friends list asking me to accept them because i only have my family on my facebook account and its not them sending me the request to add them its complete strangersnbspnbsp","unknown","negative"
