"","test1","scores"
"1","after attempting to fix my  months of broken push notifications with all suggestions i thought i try one more thing i havent tried  it worked   notifications problem gone    i recommend to try it  i just figured out when your all your notifications are switched on but your skype contact chat screen notification turned off your contacts will not get a notification from you at all  visa versa   after establishing all phone  in app in your skype profile are all switched on go to each of your skype contacts  within the chat screen go to the chat notifications  see if turned on  tap the three dots on the bottom right hand corner  chat menu comes up  tap notifications  turn it on   now contact each of your skype contacts  ask them to go into each of their contacts chat screen  switch notifications on   once i got each of my skype contacts to check their chat sessions  had them switch notifications on the problem went away     give it a try it it would be nice for feedback it worked    good luck  hope it works for everyone",0
"2","skype as long as its installed  logged on becomes a background service i do like the look of the current version but i do hate how it runs there was a problem regarding it running in background in the past where despite exiting the application through signing off with automatic signon enabled the app would reopen itself if someone called you let alone even sent you a file   now signing off literally logging off is the only way to stop the app the biggest downside is having to log in again if you swipe away the app from your recent apps display the sticky notification still remains you can turn it off but sometimes you dont want that option off when skype is actually running you cant win you just cant win   when the app is off the app should be off and shouldnt display calls of files when the app is swiped the app should also be off   there should also be an option to exit the app instead of signing off exiting the app and signing off of the app are two different things period",0
"3","good evening  in an automated updates deployment workstations that office  lync client installed actually installed updates that were intended for skype for business  client none of these workstations had had the kb update installed that actually updates   from lync client to sfb client and were all functioning as traditional lync clients    however they all installed update kb that is security update for the sfb client this resulted in some strange behaviour the lync icons changed to sfb icons lync within the startmenu changed to sfb yet the ui remained the same  the   lync client ui not sfb ive uninstalled the kb from the affected workstations and everything is now back to normal even stranger this didnt affect all of our workstations but only a small number  all utilising the same version of the lync client   the updates were deployed through an automated sccm update   does anyone have any idea what has occurred here im completely baffled im also concerned that this could reoccur in future the changes were only subtle and so we didnt notice them on our test deployment systems    thank you to anyone that takes the time to read this post     m tipler",0
"4","hi  when i want to join a lync meeting i have to install the  skypeforbusinesspluginpkg to run the meetinghowever it is not possible to run this package it says installer quit unexpectedly while starting and the error log shows the following   i have osx v   how can this be resolved  thanks    process         installer   path            systemlibrarycoreservicesinstallerappcontentsmacosinstaller  identifier      comappleinstaller  version            build info      installer  code type       x native  parent process  launchd   responsible     installer   user id             datetime           os version      mac os x  f  report version    anonymous uuid  fbdcefadaaaadfe    sleepwake uuid abcaaacedf    crashed thread      exception type  exccrash sigabrt  exception codes x x    application specific information   terminating app due to uncaught exception pkreceipt reason attempt to get receipts for nil volumepath  terminating with uncaught exception of type nsexception  abort called    application specific backtrace      corefoundation                      xfffecc exceptionpreprocess       libobjcadylib                     xfffedfe objcexceptionthrow       corefoundation                      xfffecc nsexception raiseformat       packagekit                          xfffef pkreceiptlibraryreceipts receiptsonvolumeatpath       packagekit                          xfffefa pkreceiptlibraryreceipts receiptwithidentifiervolume       install                             xff pfpkreceipt receiptmoduleforidentifierwithobjectonvolumeorhomedirerror       install                             xf pfreceipt initwithmoduleandidcontextonvolumeorhomedirerror       install                             xfde pfreceipt receiptwithmoduleandidcontextonvolumeorhomedirerror       install                             xf pfreceipt receiptforidentifierwithobjectonvolumeorhomedirerror       install                             xfd ifdocumentdistributionprivate receiptforpackageonvolumeorhomedir      install                             xf ifdtargetcontrollerdiskprocessing cachereceiptinfofortarget      install                             xf ifdtargetcontrollerdomainprocessing targetfordomain      installer                           xebb installer      foundation                          xfffbdb nsthreadmain      libsystempthreaddylib             xfff pthreadbody      libsystempthreaddylib             xfffa pthreadstructinit      libsystempthreaddylib             xffffc threadstart      thread  dispatch queue comapplemainthread     libsystemkerneldylib          xfffebaa machmsgtrap       libsystemkerneldylib          xfffebd machmsg       comapplecorefoundation        xfffeef cfrunloopservicemachport       comapplecorefoundation        xfffee cfrunlooprun       comapplecorefoundation        xfffede cfrunlooprunspecific       comapplehitoolbox             xfffaead runcurrenteventloopinmode       comapplehitoolbox             xfffaeb receivenexteventcommon       comapplehitoolbox             xfffaebc blockuntilnexteventmatchinglistinmodewithfilter       comappleappkit                xfffbfee dpsnextevent       comappleappkit                xfffbfdb nsapplication nexteventmatchingmaskuntildateinmodedequeue      comappleappkit                xfffbfc nsapplication run      comappleappkit                xfffbdc nsapplicationmain      comappleinstaller             xee xec      libdylddylib                   xfffbfd start      ",-1
"5","hi remus im not entirely clear on all your questions but   lync doesnt have any dependency on an existing voip solution its an enterprise grade unified communication product a suite of services and as part of that suite is capable of acting as a complete voip telephony solution in its own right providing   you deploy the required lync roles  servers and supporting components sbcs sip trunks etc then you can connect your lync environment to the pstn and use it as a complete replacement for any telephony system that said if you do have an existing pbx    telephony system that you would like to retain and have coexistence with then that possible as well regarding soft clients the lync desktop client is just one type of endpoint that a user can make and receive calls on they might also use desk phones   conferencing devices or qualified contact centre products to name a few   as mentioned above you cant use another vendors softphone with lync youd use the msft lync client software     lync works natively with microsoft exchange calendar integration conversation history etc all work out the box providing exchange is healthy and configured correctly if you were to use exchange  with lync as a telephony solution then it will   also handle your voicemail functionality  this requires the deployment and configuration of the unified messaging role on the exchange serverss   unfortunately im not over familiar with bcm and cant vouch for any enhancements or benefits that you might gain your call log history is saved directly in outlook via exchange but im not sure youll get any click to call functionality which is   what i think youre getting at there  kind regards  ben    note if you find a post informative please mark it so using the arrow to the left if it answers a question youve asked please mark the thread as answered to aid others when theyre looking for solutions to similar problems or queries",0
"6","hi all  here is our current deployment    lync server    edge   fe   branch sites   monitoring server    lync server    frontend   edge   mediation   backend    simple urls are still point to legacy  servers  external settings of edge  servers have been define with different name accessweb and av and dns internally and externally is pointing to new  servers via kemp and tmg  atm  topology is using edge server  seems like we have two options for replacing edge serversone is rip and replace and the other one is side by side transition  we would like to do rip and replace so we can keep old simple urls so that we dont have to send notice to external partners about our new access edge info and using  edge servers for federation and keep users on  serversthen move them in   a controlled way    what is the best way to do this    thanks        please mark as helpful if you find my contribution useful or as an answer if it does answer your question that will encourage me  and others  to take time out to help you thank you offwork",0
"7","check this out      if schannel is sending a truncated list of trusted root certificate authorities to the lync phone edition client during the tlsssl handshake process this can explain the symptoms    to check this look in your lync fe servers system event log for the following warning      event id     when asking for client authentication this server sends a list of trusted certificate authorities to the client the client uses this list to choose a client certificate that is trusted by the server currently this server trusts so many certificate authorities   that the list has grown too long this list has thus been truncated the administrator of this machine should review the certificate authorities trusted for client authentication and remove those that do not really need to be trusted      the easiest way to fix this is to configure schannel on the lync fes not to send this list     click start click run type regedit and then click ok   locate and then click the following registry subkey      hkeylocalmachinesystemcurrentcontrolsetcontrolsecurityprovidersschannel     on the edit menu point to new and then click dword value   type sendtrustedissuerlist and then press enter to name the registry entry   rightclick sendtrustedissuerlist and then click modify   in the value data box type  if that value is not already displayed and then click ok   exit registry editor    you shouldnt need to reboot the server for this to take effect    hope this helps    for more information and other options on how to resolve this see microsoft article          thanks  andrew    andrew morpeth  lync server specialist  auckland nz  blog      please remember if you see a post that helped you please click vote as helpful and if it answered your question please click mark as answer",0
"8","any idea to fix the high packet loss issue  user didnt report the call have problem but monitor server show it have packet loss only inbound show have high packet loss  thanks  caller  pstn call  callee lync user              audio stream caller  callee                  codec      pcma        sample rate                      packet utilization                                    avg packet loss rate               max packet loss rate                         avg jitter       ms        max jitter       ms                  burst duration       ms        burst gap duration       ms                  burst density               burst gap density                         avg concealed samples ratio               avg stretched samples ratio                         avg compressed samples ratio                                     avg network mos              min network mos                        avg network mos degradation              max network mos degradation                        nmos degradation jitter               nmos degradation packet loss       ",-1
"9","after many hours of debugging with microsoft support the system to install the lync client silently can be done with a single line command  the steps to take are below it should be an easy next step to put this as gpo installation since   it is a simple command  comments appreciated    side question why is there no lync  or lync office  forum    basic steps to deploy lync for users who own office  e licenses but don’t have office  e using office deployment tool  this also applies for other office  service types where the full office suite download is not included  in april  this was impossible to find online and not know by the lync support team  steps are    download the office deployment tool from   and extract it to a folder for this   example we will use the serversharename  location  extracting it creates a setupexe file and it show a sample xml file   create xml file and give it a name such as lyncentryretailxml  note the key is the productid that has to be the “lyncentryretail” other product ids will download a version that needs another office  license the productid “lyncretail” needs an e license of office     configuration    add sourcepathserversharename officeclientedition       product idlyncentryretail        language idenus       product    add     configuration   from the folder where you extracted the office deployment tool run the following command on the command prompt to download the source files and store them on the shared drive    on single line  setupexe download lyncentryretailxml    this is the name of the xml file created above    one can also run the same on a server share by using unc path names such as  on single line  servernamesharenamesetupexe download  servernamesharenamelyncentryretailxml    this is the name of the xml file created above   run the following command on the command prompt on a machine where you want to install the software on single line  servernamesharenamesetupexe configure  servernamesharenamelyncentryretailxml    this is the name of the xml file created above  once you are comfortable that it all works you may want to edit the xml file if you want to have silent installation and add the following lines    display levelnone accepteulatrue        property nameautoactivate value        regards   bart    bart louwagie",0
"10","we all know lync has a great feature that it can search contacts from outlook contact folders but sometimes we do not want the lync client to search contacts   from some specific outlook contact folders    requirements  for example in my scenario i have personal contacts defined in outlook and my lync client shows both lync enabled users and outlook contacts in search results  there are three contacts in two contact folders testuser in contacts folder testuser and testuser in cs folder                yes everything works well but now i do not want it to search contacts from the cs folder              solution  for this example i will create a new client policy and configure it to not search the outlook “cs” folder i create the policy by running  newcsclientpolicy –identity “excludeoutlookcontactfolder” –excludedcontactfolders “cs”          then assign the policy to the user “lyncdemo” by running  grantcsclientpolicy –identity lyncdemo policyname “excludeoutlookcontactfolder”            run getcsuser command to check if the policy is assigned to the user          after the user receives the new client policy the same search will not show the outlook contacts from “cs” folder        important please make sure both the outlook and lync client are up   to date in my testing i found it might not work with some previous versions          reference            please click to vote if the post helps you this can be beneficial to other community members reading the thread",0
