SourceName,ReviewID,ReviewTitle,ReviewText
AppleiTunesStore,20909,A solution to fix broken notifications .. It worked,After attempting to fix my 8 months of broken push notifications with all suggestions I thought I try one more thing I haven't tried & it worked !!  Notifications problem gone .   I recommend to try it . I just figured out when your all your notifications are switched on but your Skype contact chat screen notification turned off your contacts will not get a notification from you at all & visa versa !!  After establishing all phone & in app in your Skype profile are ALL switched ON Go to each of your Skype contacts & within the chat screen go to the chat notifications & see if turned on . Tap the three dots on the bottom right hand corner . Chat menu comes up . Tap notifications . Turn it on .  Now contact each of your Skype contacts & ask them to go into each of their contacts chat screen & switch notifications on .  Once I got each of my Skype contacts to check their chat sessions & had them switch notifications on the problem went away .    Give it a try it it would be nice for feedback it worked .   Good luck ! Hope it works for everyone!
GooglePlayStore,40858,"Skype, as long as it's installed & logged on, becomes a background service.","Skype, as long as it's installed & logged on, becomes a background service. I do like the look of the current version, but I do hate how it runs. There was a problem regarding it running in background in the past where, despite exiting the application through signing off with automatic sign-on enabled, the app would re-open itself if someone called you... let alone even sent you a file.   Now, signing off (literally logging off) is the only way to stop the app. The biggest downside is having to log in AGAIN. If you swipe away the app from your recent apps display, the sticky notification still remains. You can turn it off, but sometimes, you don't want that option off when Skype is ACTUALLY running. You can't win! You just can't win!   When the app is off, the app should be off and shouldn't display calls of files.. When the app is swiped, the app should also be off.   There should also be an option to EXIT the app instead of signing off. EXITING the app and SIGNING OFF of the app are TWO DIFFERENT THINGS. Period."
MicrosoftTechNetForum,98997,Lync 2013 client systems installed Skype for business client windows updates with strange results!?!?!,"Good evening,  In an automated updates deployment workstations that Office 2013 (Lync client) installed actually installed updates that were intended for Skype for Business 2015 client! None of these workstations had had the KB2889923 update installed that actually updates   from Lync client to SFB2015 client and were all functioning as traditional Lync clients.    However, they all installed update KB3039779 that is security update for the SFB2015 client? This resulted in some strange behaviour. The Lync icons changed to SFB2015 icons, Lync within the start-menu changed to SFB2015 yet the UI remained the same - the   Lync client UI not SFB2015! I've uninstalled the KB3039779 from the affected workstations and everything is now back to normal. Even stranger, this didn't affect all of our workstations but only a small number - all utilising the same version of the Lync client.   The updates were deployed through an automated SCCM update.   Does anyone have any idea what has occurred here? I'm completely baffled. I'm also concerned that this could reoccur in future. The changes were only subtle and so we didn't notice them on our test deployment systems.    Thank you to anyone that takes the time to read this post.     M Tipler"
MicrosoftTechNetForum,99134,Installing Lync (Plugin SkypeforBusinessPlugin) on Mac,"Hi,  when I want to join a Lync meeting, I have to install the  SkypeforBusinessPlugin.pkg to run the meeting.However it is not possible to run this package. It says 'installer quit unexpectedly' while starting and the error log shows the following.   I have OSX V. 10.9.5.  How can this be resolved?  Thanks!    Process:         Installer [17103]  Path:            /System/Library/CoreServices/Installer.app/Contents/MacOS/Installer  Identifier:      com.apple.installer  Version:         6.0 (721)  Build Info:      Installer-721000000000000~67  Code Type:       X86-64 (Native)  Parent Process:  launchd [188]  Responsible:     Installer [17103]  User ID:         875813775    Date/Time:       2015-05-19 18:32:54.556 +0200  OS Version:      Mac OS X 10.9.5 (13F1077)  Report Version:  11  Anonymous UUID:  217F0BDC-6EFA-D609-AAA4-02A28205DFE1    Sleep/Wake UUID: 87A6625B-4867-48C3-AA50-33A83C6E50DF    Crashed Thread:  14    Exception Type:  EXC_CRASH (SIGABRT)  Exception Codes: 0x0000000000000000, 0x0000000000000000    Application Specific Information:  *** Terminating app due to uncaught exception 'PKReceipt', reason: 'Attempt to get receipts for nil volumePath'  terminating with uncaught exception of type NSException  abort() called    Application Specific Backtrace 1:  0   CoreFoundation                      0x00007fff8e67c25c __exceptionPreprocess + 172  1   libobjc.A.dylib                     0x00007fff8ed2fe75 objc_exception_throw + 43  2   CoreFoundation                      0x00007fff8e67c10c +[NSException raise:format:] + 204  3   PackageKit                          0x00007fff91e7f987 +[PKReceipt(LibraryReceipts) receiptsOnVolumeAtPath:] + 191  4   PackageKit                          0x00007fff91e7fa03 +[PKReceipt(LibraryReceipts) receiptWithIdentifier:volume:] + 110  5   Install                             0x0000000102f78f42 +[PFPKReceipt receiptModuleForIdentifier:withObject:onVolumeOrHomeDir:error:] + 43  6   Install                             0x0000000102f07761 -[PFReceipt initWithModule:andID:context:onVolumeOrHomeDir:error:] + 100  7   Install                             0x0000000102f076de +[PFReceipt receiptWithModule:andID:context:onVolumeOrHomeDir:error:] + 83  8   Install                             0x0000000102f07643 +[PFReceipt receiptForIdentifier:withObject:onVolumeOrHomeDir:error:] + 85  9   Install                             0x0000000102f0751d -[IFDocument(DistributionPrivate) receiptForPackage:onVolumeOrHomeDir:] + 156  10  Install                             0x0000000102f07330 -[IFDTargetController(DiskProcessing) _cacheReceiptInfoForTarget:] + 357  11  Install                             0x0000000102f61569 -[IFDTargetController(DomainProcessing) targetForDomain:] + 541  12  Installer                           0x0000000102e25bb5 Installer + 105397  13  Foundation                          0x00007fff88b05d8b __NSThread__main__ + 1318  14  libsystem_pthread.dylib             0x00007fff90720899 _pthread_body + 138  15  libsystem_pthread.dylib             0x00007fff9072072a _pthread_struct_init + 0  16  libsystem_pthread.dylib             0x00007fff90724fc9 thread_start + 13    Thread 0:: Dispatch queue: com.apple.main-thread  0   libsystem_kernel.dylib          0x00007fff8e7b8a1a mach_msg_trap + 10  1   libsystem_kernel.dylib          0x00007fff8e7b7d18 mach_msg + 64  2   com.apple.CoreFoundation        0x00007fff8e59ef15 __CFRunLoopServiceMachPort + 181  3   com.apple.CoreFoundation        0x00007fff8e59e539 __CFRunLoopRun + 1161  4   com.apple.CoreFoundation        0x00007fff8e59de75 CFRunLoopRunSpecific + 309  5   com.apple.HIToolbox             0x00007fff90a1ea0d RunCurrentEventLoopInMode + 226  6   com.apple.HIToolbox             0x00007fff90a1e7b7 ReceiveNextEventCommon + 479  7   com.apple.HIToolbox             0x00007fff90a1e5bc _BlockUntilNextEventMatchingListInModeWithFilter + 65  8   com.apple.AppKit                0x00007fff8b2fe24e _DPSNextEvent + 1434  9   com.apple.AppKit                0x00007fff8b2fd89b -[NSApplication nextEventMatchingMask:untilDate:inMode:dequeue:] + 122  10  com.apple.AppKit                0x00007fff8b2f199c -[NSApplication run] + 553  11  com.apple.AppKit                0x00007fff8b2dc783 NSApplicationMain + 940  12  com.apple.installer             0x0000000102e0e254 0x102e0c000 + 8788  13  libdyld.dylib                   0x00007fff91b195fd start + 1    ...."
MicrosoftTechNetForum,99142,Query: Lync Requirements to make a Phone Call via Desktop or Desk phone or Smart phone,"Hi Remus, I'm not entirely clear on all your questions but;  1.) Lync doesn't have any dependency on an existing VOIP solution. It's an enterprise grade Unified Communication product (a suite of services), and as part of that suite is capable of acting as a complete VOIP telephony solution in its own right. Providing   you deploy the required Lync roles / servers and supporting components (SBCs, SIP trunks etc.), then you can connect your Lync environment to the PSTN and use it as a complete replacement for any telephony system. That said, if you do have an existing PBX   / telephony system that you would like to retain and have co-existence with, then that possible as well. Regarding soft clients, the Lync desktop client is just one type of endpoint that a user can make and receive calls on, they might also use desk phones,   conferencing devices, or qualified contact centre products to name a few.  2.) As mentioned above, you can't use another vendors softphone with Lync, you'd use the MSFT Lync client software.    3.) Lync works natively with Microsoft Exchange. Calendar integration, conversation history etc. all work out the box providing Exchange is healthy and configured correctly. If you were to use Exchange 2010 with Lync as a telephony solution, then it will   also handle your voicemail functionality - this requires the deployment and configuration of the Unified Messaging role on the Exchange servers(s)  4.) Unfortunately I'm not over familiar with BCM, and can't vouch for any enhancements or benefits that you might gain. Your call log history is saved directly in outlook via Exchange, but I'm not sure you'll get any click to call functionality (which is   what I think you're getting at there).  Kind regards  Ben    Note: If you find a post informative, please mark it so using the arrow to the left. If it answers a question you've asked, please mark the thread as answered to aid others when they're looking for solutions to similar problems or queries"
MicrosoftTechNetForum,99232,Lync server 2010 and 2013 coexistence replacing edge servers,"Hi all,  here is Our current deployment:    Lync server 2010:  1 edge  1 FE  3 branch sites  1 Monitoring server    Lync server 2013:  3 FrontEnd  2 Edge  2 Mediation  3 Backend    Simple urls are still point to Legacy (2010) servers.  External settings of Edge 2013 servers have been define With different name (Access,WEB and AV) and DNS (internally and externally) is pointing to New 2013 servers (via KEMP and TMG).  ATM 2013 topology is using edge2010 server.  Seems like we have two options for replacing Edge servers,one is Rip and replace and the other one is side by side transition.  We would like to do rip and replace so we can keep old simple urls (so that we dont have to send notice to external partners about Our New Access edge info) and using 2013 edge servers for federation and keep users on 2010 servers,then move them in   a controlled way.    What is the best way to do this?    Thanks!        Please mark as helpful if you find my contribution useful or as an answer if it does answer your question. That will encourage me - and others - to take time out to help you. Thank you! Off2work"
MicrosoftTechNetForum,99271,Lync Phone Edition Polycom CX600 Sign Out/In many times throughout the day,"Check this out - https://social.technet.microsoft.com/Forums/lync/en-US/d9cf0adf-cabf-423a-b5ce-445a94abc682/lync-phone-edition-constant-sign-in-and-out-for-some-users?forum=ocsclients    If SCHANNEL is sending a truncated list of trusted root certificate authorities to the Lync phone edition client during the TLS/SSL handshake process, this can explain the symptoms.    To check this look in your Lync FE servers system event log for the following warning:    ----  EVENT ID: 36885    When asking for client authentication, this server sends a list of trusted certificate authorities to the client. The client uses this list to choose a client certificate that is trusted by the server. Currently, this server trusts so many certificate authorities   that the list has grown too long. This list has thus been truncated. The administrator of this machine should review the certificate authorities trusted for client authentication and remove those that do not really need to be trusted.  ----    The easiest way to fix this is to configure SCHANNEL on the Lync FE's not to send this list:    1. Click Start, click Run, type regedit, and then click OK.  2. Locate and then click the following registry subkey -     HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL    3. On the Edit menu, point to New, and then click DWORD Value.  4. Type SendTrustedIssuerList, and then press ENTER to name the registry entry.  5. Right-click SendTrustedIssuerList, and then click Modify.  6. In the Value data box, type 0 if that value is not already displayed, and then click OK.  7. Exit Registry Editor.    You shouldn't need to reboot the server for this to take effect.    Hope this helps!!    For more information and other options on how to resolve this see Microsoft article -     http://support.microsoft.com/kb/2464556    Thanks,  Andrew    Andrew Morpeth  Lync Server Specialist - Auckland, NZ  Blog - http://www.lync.geek.nz    Please remember, if you see a post that helped you please click ""Vote As Helpful"" and if it answered your question, please click ""Mark As Answer"""
MicrosoftTechNetForum,99300,Call Leg Media Quality Report report show high packet loss,"Any idea to fix the high packet loss issue?  User didn't report the call have problem but Monitor server show it have packet loss, only inbound show have high packet loss.  Thanks.  Caller : PSTN call  Callee: Lync User              Audio Stream (Caller -> Callee)                  Codec:      PCMA        Sample rate:      8000                Packet utilization:      2336                              Avg. packet loss rate:      45.16 %        Max. packet loss rate:      95.22 %                  Avg. jitter:      0 ms        Max. jitter:      0 ms                  Burst duration:      0 ms        Burst gap duration:      45400 ms                  Burst density:      0.00 %        Burst gap density:      0.00 %                  Avg. concealed samples ratio:      31.00 %        Avg. stretched samples ratio:      0.00 %                  Avg. compressed samples ratio:      0.00 %                              Avg. network MOS:      3.73        Min. network MOS:      3.73                  Avg. network MOS degradation:      0.00        Max. network MOS degradation:      0.00                  NMOS degradation (jitter):      0.00 %        NMOS degradation (packet loss):      0.00 %"
MicrosoftTechNetForum,99344,"Steps to deploy Lync for users who own Office 365 E1/E2 licenses, but don’t have Office 365 E3, using Office Deployment tool.","After many hours of debugging with Microsoft support the system to install the Lync Client silently can be done with a SINGLE LINE command.  The steps to take are below. It should be an easy next step to put this as GPO installation since   it is a simple command.  Comments appreciated.    side question: Why is there no Lync 2013 or Lync Office 365 forum?    Basic steps to deploy Lync for users who own Office 365 E2 licenses, but don’t have Office 365 E3, using Office Deployment tool.  This also applies for other Office 365 service types where the full office suite download is not included.  In April 2015 This was impossible to find online and not know by the Lync support team.  Steps are:    Download the Office deployment tool from  http://www.microsoft.com/en-in/download/details.aspx?id=36778 and extract it to a folder. For this   example we will use the \\server\sharename  location.  Extracting it creates a setup.exe file and it show a sample XML file.  2. Create XML file and give it a name such as LyncEntryRetail.xml  Note: The key is the productID that has to be the “LyncEntryRetail”. Other product IDs will download a version that needs another office 365 license. The productID “LyncRetail” needs an E3 license of Office 365.    <Configuration>    <Add SourcePath=""\\server\sharename"" OfficeClientEdition=""32"" >      <Product ID=""LyncEntryRetail"">        <Language ID=""en-us"" />      </Product>    </Add>     </Configuration>  3. From the folder where you extracted the Office deployment tool, run the following command on the command prompt to download the source files and store them on the shared drive:    (on single line)  Setup.exe /download LyncEntryRetail.xml    (This is the name of the XML file created above)    One can also run the same on a server share by using UNC path names such as  (on single line)  \\servername\sharename\Setup.exe /download  \\servername\sharename\LyncEntryRetail.xml    (This is the name of the XML file created above)  4. Run the following command on the command prompt on a machine where you want to install the software: (on single line)  \\servername\sharename\Setup.exe /configure  \\servername\sharename\LyncEntryRetail.xml    (This is the name of the XML file created above)  Once you are comfortable that it all works, you may want to edit the XML file if you want to have silent installation and add the following lines.    <Display Level=""None"" AcceptEULA=""TRUE"" />       <Property Name=""AUTOACTIVATE"" Value=""1"" />       Regards   Bart    Bart Louwagie"
MicrosoftTechNetForum,99375,Blocking Lync from Searching Outlook Contact Folders,"We all know Lync has a great feature that it can search contacts from Outlook Contact Folders. But sometimes, we do not want the Lync Client to search Contacts   from some specific Outlook Contact Folders.    [Requirements]  For example, in my scenario, I have personal contacts defined in Outlook and my Lync client shows both Lync enabled users and Outlook contacts in search results.  (There are three Contacts in two Contact Folders, TestUser2 in Contacts Folder, TestUser1 and TestUser3 in CS Folder)                Yes, everything works well. But now I do not want it to search Contacts from the CS folder.              [Solution]  For this example, I will create a new client policy and configure it to not search the Outlook “CS” folder. I create the policy by running:  New-CsClientPolicy –Identity “ExcludeOutlookContactFolder” –ExcludedContactFolders “CS”          Then assign the policy to the user “LyncDemo2” by running:  Grant-CsClientPolicy –Identity LyncDemo2 -PolicyName “ExcludeOutlookContactFolder”            Run Get-CsUser command to check if the policy is assigned to the User.          After the user receives the new client policy, the same search will not show the Outlook contacts from “CS” folder:        Important: Please make sure both the Outlook and Lync client are up   to date. In my testing, I found it might not work with some previous versions.          Reference:    http://howdouc.blogspot.com/2012/03/blocking-lync-from-searching-outlook.html  https://technet.microsoft.com/en-us/library/gg398300.aspx      Please click to vote if the post helps you. This can be beneficial to other community members reading the thread."
