basket_id,description
102822946,PA 911 PHONE CARD SURCHARGE
109783802,PA 911 PHONE CARD SURCHARGE
122546704,PA 911 PHONE CARD SURCHARGE
133075406,PA 911 PHONE CARD SURCHARGE
128223777,PA 911 PHONE CARD SURCHARGE
94421351,PA 911 PHONE CARD SURCHARGE
115353142,PA 911 PHONE CARD SURCHARGE
99513973,VARIBLE GC SURCHARGE  3.95
111805055,WHITE FLESH NECTARINES
114957756,WHITE FLESH NECTARINES
115770685,WHITE FLESH NECTARINES
112306338,WHITE FLESH NECTARINES
99462560,WHITE FLESH NECTARINES
115827545,WHITE FLESH NECTARINES
77807746,UGLI TOMATO
87705317,RED ROMAINE LETTUCE
86458432,RED ROMAINE LETTUCE
116532327,RED ROMAINE LETTUCE
86679845,RED ROMAINE LETTUCE
108021703,RED ROMAINE LETTUCE
110456915,RED ROMAINE LETTUCE
88142918,ORANGES CARA CARA
80544442,ORANGES CARA CARA
126261786,ORANGES CARA CARA
78876889,ORANGES CARA CARA
81687084,ORANGES CARA CARA
131719553,ORANGES CARA CARA
97462728,PAPAYAS
75986513,PEPPERS - ORANGE
133782907,PEPPERS - ORANGE
83786163,PEPPERS - ORANGE
108923619,PEPPERS - ORANGE
91463743,PEPPERS - ORANGE
124672337,HABANERO PEPPER
131137395,HABANERO PEPPER
96802471,HABANERO PEPPER
131131317,POMEGRANATE
125883673,POMEGRANATE
128872566,POMEGRANATE
122186650,POMEGRANATE
70768113,PUMMELO FRUIT
122186650,JACK O LANTERN PUMPKIN
116321836,JACK O LANTERN PUMPKIN
97859642,V R TOMATOES
71358770,V R TOMATOES
70895739,V R TOMATOES
90184457,V R TOMATOES
94136868,NAME
108636207,NAME
114360571,NAME
68927804,NAME
101359338,PLUOTS
115933452,HONEYCRISP APPLES
121315089,HONEYCRISP APPLES
73269904,HONEYCRISP APPLES
118842376,HONEYCRISP APPLES
125196839,HONEYCRISP APPLES
120269922,HONEYCRISP APPLES
121308114,HONEYCRISP APPLES
124296846,HONEYCRISP APPLES
113898413,HONEYCRISP APPLES
113419726,HONEYCRISP APPLES
122011985,HONEYCRISP APPLES
120679973,HONEYCRISP APPLES
113503366,HONEYCRISP APPLES
80559019,GOLD DELICIOUS APPLES
124672337,JAZZ APPLES
99462560,JAZZ APPLES
77697304,PERSONAL MELON
124625335,UGLY RIPE TOMATOES
73322454,AMBROSIA APPLE
121245232,AMBROSIA APPLE
132532199,AMBROSIA APPLE
118921291,AMBROSIA APPLE
127918323,AMBROSIA APPLE
120535116,AMBROSIA APPLE
122806871,AMBROSIA APPLE
75616148,AMBROSIA APPLE
126511646,AMBROSIA APPLE
99587087,PLUOT
95019570,PLUOT
79937122,APPLE KIKU
77807746,APPLE KIKU
79704865,APPLE OPAL
90714027,BANANAS
85752522,BANANAS
78556002,BANANAS
91909664,BANANAS
101996156,BANANAS
72517534,BANANAS
84184355,BANANAS
126725602,BANANAS
104627672,BANANAS
73322454,BANANAS
90837864,BANANAS
115249699,BANANAS
84759404,BANANAS
94436038,BANANAS
73441228,BANANAS
99513973,BANANAS
113991527,BANANAS
79630845,BANANAS
130077708,BANANAS
75616148,BANANAS
80182626,BANANAS
120207953,BANANAS
102429938,BANANAS
120269922,BANANAS
106779778,BANANAS
75828534,BANANAS
107445578,BANANAS
86609171,BANANAS
101841061,BANANAS
125196839,BANANAS
110407857,BANANAS
118150053,BANANAS
91321929,BANANAS
108084482,BANANAS
81814742,BANANAS
127918323,BANANAS
105977926,BANANAS
96802471,BANANAS
106614307,BANANAS
111209253,BANANAS
77697304,BANANAS
113585588,BANANAS
96656905,BANANAS
80741305,BANANAS
103617442,BANANAS
82518773,BANANAS
72459048,BANANAS
103522542,BANANAS
100752800,BANANAS
70299755,BANANAS
109108829,BANANAS
90726195,BANANAS
105214532,BANANAS
116867095,BANANAS
113232177,BANANAS
92917030,BANANAS
98551772,BANANAS
118842376,BANANAS
73559931,BANANAS
77807746,BANANAS
103106276,BANANAS
117354852,BANANAS
105283111,BANANAS
121315089,BANANAS
110768696,BANANAS
73283285,BANANAS
94665263,BANANAS
82820600,BANANAS
102273766,BANANAS
120610659,BANANAS
131166672,BANANAS
118096516,BANANAS
105691737,BANANAS
128130277,BANANAS
74131712,BANANAS
109513976,BANANAS
114856741,BANANAS
87859764,BANANAS
80876582,BANANAS
113936754,BANANAS
92009034,BANANAS
101460606,BANANAS
101190679,BANANAS
93177080,BANANAS
69497118,BANANAS
125724401,BANANAS
97429794,BANANAS
114458303,BANANAS
90022357,BANANAS
114105162,BANANAS
130527901,BANANAS
129112607,BANANAS
131517839,BANANAS
115551783,BANANAS
69594224,BANANAS
