"","HOUSEHOLD_ID","CHURN","RECENCY","VISIT_DEC","VISIT_SEP_OCT","VISIT_JAN_AUG","PUR_DEC","PUR_SEP_OCT","PUR_JAN_AUG"
"2",400017716654,0,3,9,9.66666666666667,4.5,5101.75,272.993333333333,334.5575
"3",400017748026,0,0,11,8,27.125,6775.23,237.883333333333,594.3125
"4",400017700353,0,2,9,6.33333333333333,7.5,6913.91,454.173333333333,516.715
"5",400017731834,0,5,7,6.66666666666667,8.125,5075.48,284.883333333333,426.81625
"6",400017718586,0,1,18,11.3333333333333,11.375,17628.27,1010.65333333333,1342.55625
"8",400001580623,0,2,10,13,10.375,4543.55,408.506666666667,286.675
"14",400017741218,0,0,24,23,21.25,7567.7,379.336666666667,686.7075
"20",400017735606,0,0,15,19.3333333333333,15.5,10083.72,762.263333333333,771.8675
"28",400017711025,0,0,11,16.6666666666667,11.875,6042.82,348.28,485.12125
"35",400017729258,0,5,7,4.66666666666667,8.875,12283.81,364.07,1209.93125
"37",400017722450,0,4,7,6.66666666666667,7.125,5485.24,292.113333333333,434.275
"40",400017584675,0,8,8,7.66666666666667,5.875,4309.31,96.7666666666667,422.46
"41",400000012443,0,0,6,6.33333333333333,6.5,4394.48,174.6,392.0775
"42",400017730270,0,1,10,7,6,4497.33,285.436666666667,358.0425
"46",400121496105,0,3,22,16,13.875,4447.85,250.783333333333,339.62
"52",400017704861,0,0,9,8.66666666666667,8.375,6655.54,340.863333333333,532.665
"55",400017721438,0,4,5,3.33333333333333,5.25,5446.84,201.316666666667,518.9375
"59",400017723186,0,4,6,4.33333333333333,5.125,4079.31,219.54,331.10125
"68",400017698789,0,1,8,7.66666666666667,5.5,5322.67,359.22,387.84125
"71",400017712957,0,5,11,13,20.625,5126.18,260.993333333333,517.82125
"72",400017740482,0,8,6,9,8,4019.02,165.466666666667,357.69125
"76",400000093713,0,0,10,8.33333333333333,8,4198.33,232.803333333333,361.445
"79",400017742322,0,0,8,9.33333333333333,9.25,14037.49,1008.42666666667,1053.65625
"81",400016434294,0,4,7,8,7.375,8295.44,498.286666666667,696.5325
"83",400017729902,0,1,13,15.6666666666667,12.125,6306.56,376.166666666667,489.7725
"89",400017743794,0,7,4,4.66666666666667,4.875,6561.53,298.596666666667,532.85625
"102",400017638880,0,1,13,11.3333333333333,5.875,5729.14,470.323333333333,305.54375
"104",400017711209,0,3,5,8.33333333333333,7.25,5930.24,365.03,533.80875
"157",400017727050,0,1,5,NA,5.375,5150.59,NA,552.13375
"418",400017724130,0,1,7,12.6666666666667,9.875,4105.22,321.36,309.5525
"419",400017731490,0,0,17,20,19.25,4737.03,287.503333333333,362.87875
"420",400017721094,0,4,17,16,15.875,11316.47,716.75,893.8475
"421",400017723578,0,4,11,12.3333333333333,15.875,12097.96,448.873333333333,1134.02
"423",400017748234,0,0,10,8.66666666666667,7.25,4443.74,268.12,341.50375
"424",400017725326,0,0,5,6.66666666666667,11.125,5313.34,231.24,542.765
"426",400017742070,0,7,3,11.3333333333333,15.625,4773.96,214.953333333333,507.4225
"428",400121462641,0,0,12,11,9.5,6655.14,498.65,505.67875
"436",400017728638,0,4,8,11.3333333333333,8.5,8074.06,415.546666666667,655.75625
"438",400017732042,0,0,9,9.33333333333333,8.25,6335.28,378.403333333333,508.89
"439",400017737010,0,1,24,22,22,6704.55,405.396666666667,518.64625
"445",400017742898,0,0,10,10,12.875,6085.88,207.163333333333,561.945
"447",400013888383,0,2,4,5.33333333333333,7.875,4362.65,166.583333333333,436.3425
"450",400017725510,0,0,22,22,26.5,4237.24,175.273333333333,338.22
"451",400121515282,0,0,7,3.66666666666667,5.75,7533.48,335.09,665.61875
"452",400017733330,0,1,15,17.6666666666667,17.25,5470.69,260.463333333333,489.79
"457",400017713809,0,3,4,4.33333333333333,3.25,4575.37,360.696666666667,351.33
"461",400017532719,0,4,5,5.33333333333333,4.125,6173.43,354.11,472.1125
"464",400017715189,0,2,5,7.33333333333333,6.625,6333.79,354.773333333333,515.6775
"465",400017703781,0,12,11,8,8,4631.39,324.943333333333,348.6025
"468",400017722658,1,97,NA,5.33333333333333,28.875,6141.52,157.183333333333,708.74625
"470",400121515098,0,0,30,27.3333333333333,21.25,8186.52,495.093333333333,656.95375
